(venv) PS C:\Users\ctlab\tomoka> python training.py                                                                              
Using device: cuda
Train: 9469 images | Val: 3925 images
Loaded frozen ACNNP weights from 'baseline_acnnp_amp.pth'
Epoch [3/20] LR: 9.76e-04 | Train Circle Loss: 0.002930 | Val PixelCNN Circle PSNR: 25.96 dB | Val PixelCNN Circle SSIM: 0.9783 | Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 25.96 dB @ epoch 
3 | saved best
  train epoch 4/20 batch 50/1184 | loss 0.003061 | elapsed 0.2 min
  train epoch 4/20 batch 100/1184 | loss 0.003062 | elapsed 0.3 min
  train epoch 4/20 batch 150/1184 | loss 0.003001 | elapsed 0.5 min
  train epoch 4/20 batch 200/1184 | loss 0.002966 | elapsed 0.7 min
  train epoch 4/20 batch 250/1184 | loss 0.002950 | elapsed 0.8 min
  train epoch 4/20 batch 300/1184 | loss 0.002947 | elapsed 1.0 min
  train epoch 4/20 batch 350/1184 | loss 0.002921 | elapsed 1.2 min
  train epoch 4/20 batch 400/1184 | loss 0.002922 | elapsed 1.3 min
  train epoch 4/20 batch 450/1184 | loss 0.002917 | elapsed 1.5 min
  train epoch 4/20 batch 500/1184 | loss 0.002922 | elapsed 1.7 min
  train epoch 4/20 batch 550/1184 | loss 0.002919 | elapsed 1.8 min
  train epoch 4/20 batch 600/1184 | loss 0.002920 | elapsed 2.0 min
  train epoch 4/20 batch 650/1184 | loss 0.002928 | elapsed 2.2 min
  train epoch 4/20 batch 700/1184 | loss 0.002921 | elapsed 2.3 min
  train epoch 4/20 batch 750/1184 | loss 0.002913 | elapsed 2.5 min
  train epoch 4/20 batch 800/1184 | loss 0.002910 | elapsed 2.7 min
  train epoch 4/20 batch 850/1184 | loss 0.002918 | elapsed 2.8 min
  train epoch 4/20 batch 900/1184 | loss 0.002916 | elapsed 3.0 min
  train epoch 4/20 batch 950/1184 | loss 0.002917 | elapsed 3.2 min
  train epoch 4/20 batch 1000/1184 | loss 0.002923 | elapsed 3.3 min
  train epoch 4/20 batch 1050/1184 | loss 0.002928 | elapsed 3.5 min
  train epoch 4/20 batch 1100/1184 | loss 0.002926 | elapsed 3.7 min
  train epoch 4/20 batch 1150/1184 | loss 0.002926 | elapsed 3.8 min
Epoch [4/20] LR: 9.46e-04 | Train Circle Loss: 0.002914 | Val PixelCNN Circle PSNR: 25.95 dB | Val PixelCNN Circle SSIM: 0.9782 | Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 25.96 dB @ epoch 
3
  train epoch 5/20 batch 50/1184 | loss 0.002903 | elapsed 0.2 min
  train epoch 5/20 batch 100/1184 | loss 0.002866 | elapsed 0.3 min
  train epoch 5/20 batch 150/1184 | loss 0.002917 | elapsed 0.5 min
  train epoch 5/20 batch 200/1184 | loss 0.002955 | elapsed 0.7 min
  train epoch 5/20 batch 250/1184 | loss 0.002923 | elapsed 0.8 min
  train epoch 5/20 batch 300/1184 | loss 0.002919 | elapsed 1.0 min
  train epoch 5/20 batch 350/1184 | loss 0.002914 | elapsed 1.2 min
  train epoch 5/20 batch 400/1184 | loss 0.002918 | elapsed 1.3 min
  train epoch 5/20 batch 450/1184 | loss 0.002932 | elapsed 1.5 min
  train epoch 5/20 batch 500/1184 | loss 0.002920 | elapsed 1.7 min
  train epoch 5/20 batch 550/1184 | loss 0.002927 | elapsed 1.8 min
  train epoch 5/20 batch 600/1184 | loss 0.002927 | elapsed 2.0 min
  train epoch 5/20 batch 650/1184 | loss 0.002930 | elapsed 2.2 min
  train epoch 5/20 batch 700/1184 | loss 0.002928 | elapsed 2.3 min
  train epoch 5/20 batch 750/1184 | loss 0.002928 | elapsed 2.5 min
  train epoch 5/20 batch 800/1184 | loss 0.002931 | elapsed 2.7 min
  train epoch 5/20 batch 850/1184 | loss 0.002933 | elapsed 2.8 min
  train epoch 5/20 batch 900/1184 | loss 0.002924 | elapsed 3.0 min
  train epoch 5/20 batch 950/1184 | loss 0.002927 | elapsed 3.2 min
  train epoch 5/20 batch 1000/1184 | loss 0.002929 | elapsed 3.3 min
  train epoch 5/20 batch 1050/1184 | loss 0.002930 | elapsed 3.5 min
  train epoch 5/20 batch 1100/1184 | loss 0.002927 | elapsed 3.7 min
  train epoch 5/20 batch 1150/1184 | loss 0.002927 | elapsed 3.8 min
Epoch [5/20] LR: 9.05e-04 | Train Circle Loss: 0.002927 | Val PixelCNN Circle PSNR: 25.41 dB | Val PixelCNN Circle SSIM: 0.9776 | Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 25.96 dB @ epoch 
3
  train epoch 6/20 batch 50/1184 | loss 0.002907 | elapsed 0.2 min
  train epoch 6/20 batch 100/1184 | loss 0.002855 | elapsed 0.3 min
  train epoch 6/20 batch 150/1184 | loss 0.002849 | elapsed 0.5 min
  train epoch 6/20 batch 200/1184 | loss 0.002884 | elapsed 0.7 min
  train epoch 6/20 batch 250/1184 | loss 0.002864 | elapsed 0.8 min
  train epoch 6/20 batch 300/1184 | loss 0.002882 | elapsed 1.0 min
  train epoch 6/20 batch 350/1184 | loss 0.002884 | elapsed 1.2 min
  train epoch 6/20 batch 400/1184 | loss 0.002906 | elapsed 1.3 min
